Created as New Dataset,
nm,%T
800.0,100.02
799.0,100.08
798.0,100.10
797.0,100.14
796.0,100.14
795.0,100.12
794.0,100.07
793.0,100.06
792.0,100.07
791.0,100.06
790.0,100.06
789.0,100.06
788.0,100.10
787.0,100.06
786.0,100.08
785.0,100.07
784.0,100.06
783.0,100.08
782.0,100.12
781.0,100.13
780.0,100.08
779.0,100.09
778.0,100.09
777.0,100.08
776.0,100.09
775.0,100.08
774.0,100.10
773.0,100.10
772.0,100.09
771.0,100.07
770.0,100.10
769.0,100.12
768.0,100.09
767.0,100.12
766.0,100.08
765.0,100.09
764.0,100.10
763.0,100.07
762.0,100.08
761.0,100.08
760.0,100.13
759.0,100.11
758.0,100.07
757.0,100.08
756.0,100.08
755.0,100.10
754.0,100.07
753.0,100.09
752.0,100.05
751.0,100.09
750.0,100.04
749.0,100.10
748.0,100.11
747.0,100.07
746.0,100.08
745.0,100.08
744.0,100.12
743.0,100.11
742.0,100.08
741.0,100.06
740.0,100.10
739.0,100.07
738.0,100.08
737.0,100.08
736.0,100.09
735.0,100.05
734.0,100.05
733.0,100.06
732.0,100.07
731.0,100.10
730.0,100.09
729.0,100.09
728.0,100.07
727.0,100.08
726.0,100.06
725.0,100.08
724.0,100.05
723.0,100.04
722.0,100.04
721.0,100.08
720.0,100.08
719.0,100.09
718.0,100.09
717.0,100.09
716.0,100.08
715.0,100.05
714.0,100.07
713.0,100.09
712.0,100.09
711.0,100.08
710.0,100.07
709.0,100.07
708.0,100.07
707.0,100.08
706.0,100.10
705.0,100.10
704.0,100.11
703.0,100.07
702.0,100.08
701.0,100.06
700.0,100.05
699.0,100.08
698.0,100.09
697.0,100.09
696.0,100.08
695.0,100.08
694.0,100.10
693.0,100.09
692.0,100.07
691.0,100.08
690.0,100.10
689.0,100.09
688.0,100.06
687.0,100.05
686.0,100.07
685.0,100.08
684.0,100.06
683.0,100.06
682.0,100.09
681.0,100.07
680.0,100.09
679.0,100.10
678.0,100.08
677.0,100.06
676.0,100.08
675.0,100.10
674.0,100.07
673.0,100.07
672.0,100.08
671.0,100.08
670.0,100.09
669.0,100.09
668.0,100.10
667.0,100.09
666.0,100.08
665.0,100.07
664.0,100.06
663.0,100.06
662.0,100.09
661.0,100.09
660.0,100.08
659.0,100.08
658.0,100.10
657.0,100.09
656.0,100.07
655.0,100.07
654.0,100.08
653.0,100.10
652.0,100.08
651.0,100.07
650.0,100.09
649.0,100.08
648.0,100.06
647.0,100.08
646.0,100.08
645.0,100.07
644.0,100.07
643.0,100.08
642.0,100.05
641.0,100.05
640.0,100.08
639.0,100.09
638.0,100.08
637.0,100.08
636.0,100.08
635.0,100.08
634.0,100.07
633.0,100.09
632.0,100.10
631.0,100.08
630.0,100.05
629.0,100.07
628.0,100.08
627.0,100.08
626.0,100.07
625.0,100.07
624.0,100.08
623.0,100.08
622.0,100.08
621.0,100.05
620.0,100.07
619.0,100.09
618.0,100.05
617.0,100.05
616.0,100.07
615.0,100.06
614.0,100.06
613.0,100.06
612.0,100.07
611.0,100.08
610.0,100.08
609.0,100.09
608.0,100.08
607.0,100.08
606.0,100.09
605.0,100.07
604.0,100.07
603.0,100.07
602.0,100.09
601.0,100.08
600.0,100.08
599.0,100.07
598.0,100.07
597.0,100.08
596.0,100.10
595.0,100.08
594.0,100.09
593.0,100.08
592.0,100.07
591.0,100.06
590.0,100.06
589.0,100.07
588.0,100.08
587.0,100.07
586.0,100.07
585.0,100.08
584.0,100.08
583.0,100.08
582.0,100.09
581.0,100.07
580.0,100.07
579.0,100.08
578.0,100.07
577.0,100.07
576.0,100.04
575.0,100.06
574.0,100.06
573.0,100.09
572.0,100.08
571.0,100.08
570.0,100.09
569.0,100.10
568.0,100.08
567.0,100.07
566.0,100.08
565.0,100.08
564.0,100.10
563.0,100.10
562.0,100.07
561.0,100.08
560.0,100.07
559.0,100.06
558.0,100.07
557.0,100.06
556.0,100.08
555.0,100.07
554.0,100.10
553.0,100.08
552.0,100.07
551.0,100.08
550.0,100.06
549.0,100.07
548.0,100.09
547.0,100.07
546.0,100.06
545.0,100.08
544.0,100.07
543.0,100.08
542.0,100.07
541.0,100.07
540.0,100.07
539.0,100.09
538.0,100.07
537.0,100.05
536.0,100.07
535.0,100.08
534.0,100.08
533.0,100.08
532.0,100.08
531.0,100.08
530.0,100.08
529.0,100.06
528.0,100.08
527.0,100.09
526.0,100.08
525.0,100.08
524.0,100.07
523.0,100.08
522.0,100.06
521.0,100.07
520.0,100.08
519.0,100.08
518.0,100.07
517.0,100.08
516.0,100.07
515.0,100.09
514.0,100.06
513.0,100.06
512.0,100.07
511.0,100.07
510.0,100.08
509.0,100.08
508.0,100.07
507.0,100.07
506.0,100.07
505.0,100.07
504.0,100.05
503.0,100.07
502.0,100.08
501.0,100.07
500.0,100.08
499.0,100.07
498.0,100.08
497.0,100.05
496.0,100.08
495.0,100.07
494.0,100.08
493.0,100.07
492.0,100.05
491.0,100.07
490.0,100.05
489.0,100.07
488.0,100.08
487.0,100.06
486.0,100.09
485.0,100.08
484.0,100.07
483.0,100.05
482.0,100.06
481.0,100.05
480.0,100.09
479.0,100.07
478.0,100.07
477.0,100.08
476.0,100.08
475.0,100.07
474.0,100.05
473.0,100.07
472.0,100.04
471.0,100.07
470.0,100.07
469.0,100.05
468.0,100.05
467.0,100.07
466.0,100.05
465.0,100.08
464.0,100.08
463.0,100.06
462.0,100.05
461.0,100.07
460.0,100.06
459.0,100.07
458.0,100.07
457.0,100.05
456.0,100.09
455.0,100.06
454.0,100.07
453.0,100.08
452.0,100.07
451.0,100.08
450.0,100.09
449.0,100.06
448.0,100.09
447.0,100.04
446.0,100.08
445.0,100.10
444.0,100.08
443.0,100.07
442.0,100.05
441.0,100.06
440.0,100.08
439.0,100.05
438.0,100.03
437.0,100.06
436.0,100.06
435.0,100.08
434.0,100.05
433.0,100.08
432.0,100.05
431.0,100.05
430.0,100.04
429.0,100.05
428.0,100.08
427.0,100.04
426.0,100.04
425.0,100.08
424.0,100.06
423.0,100.04
422.0,100.05
421.0,100.05
420.0,100.04
419.0,100.06
418.0,100.07
417.0,100.06
416.0,100.05
415.0,100.07
414.0,100.06
413.0,100.07
412.0,100.09
411.0,100.07
410.0,100.04
409.0,100.04
408.0,100.05
407.0,100.08
406.0,100.06
405.0,100.04
404.0,100.03
403.0,100.04
402.0,100.05
401.0,100.03
400.0,100.03
399.0,100.03
398.0,100.07
397.0,100.08
396.0,100.09
395.0,100.08
394.0,100.06
393.0,100.06
392.0,100.04
391.0,100.04
390.0,100.06
389.0,100.05
388.0,100.06
387.0,100.07
386.0,100.07
385.0,100.05
384.0,100.06
383.0,100.03
382.0,100.01
381.0,100.03
380.0,100.04
379.0,100.07
378.0,100.08
377.0,100.07
376.0,100.04
375.0,100.05
374.0,100.10
373.0,100.08
372.0,100.03
371.0,100.05
370.0,100.03
369.0,100.06
368.0,100.10
367.0,100.06
366.0,100.00
365.0,100.04
364.0,100.10
363.0,100.07
362.0,100.07
361.0,100.05
360.0,100.05
359.0,100.06
358.0,100.06
357.0,100.09
356.0,100.07
355.0,100.07
354.0,100.04
353.0,100.00
352.0,100.02
351.0,100.04
350.0,100.02
349.0,100.00
348.0,100.04
347.0,100.07
346.0,100.06
