Created as New Dataset,
nm,%T
800.0,100.11
799.0,100.12
798.0,100.12
797.0,100.11
796.0,100.15
795.0,100.16
794.0,100.09
793.0,100.06
792.0,100.06
791.0,100.13
790.0,100.08
789.0,100.10
788.0,100.05
787.0,100.06
786.0,100.06
785.0,100.10
784.0,100.06
783.0,100.06
782.0,100.14
781.0,100.10
780.0,100.11
779.0,100.10
778.0,100.10
777.0,100.07
776.0,100.12
775.0,100.12
774.0,100.10
773.0,100.12
772.0,100.11
771.0,100.11
770.0,100.11
769.0,100.12
768.0,100.11
767.0,100.08
766.0,100.09
765.0,100.10
764.0,100.09
763.0,100.07
762.0,100.08
761.0,100.09
760.0,100.12
759.0,100.10
758.0,100.07
757.0,100.13
756.0,100.12
755.0,100.09
754.0,100.12
753.0,100.10
752.0,100.09
751.0,100.09
750.0,100.07
749.0,100.10
748.0,100.10
747.0,100.07
746.0,100.09
745.0,100.10
744.0,100.12
743.0,100.11
742.0,100.09
741.0,100.06
740.0,100.09
739.0,100.05
738.0,100.09
737.0,100.10
736.0,100.11
735.0,100.10
734.0,100.07
733.0,100.06
732.0,100.11
731.0,100.11
730.0,100.10
729.0,100.10
728.0,100.11
727.0,100.09
726.0,100.09
725.0,100.11
724.0,100.09
723.0,100.10
722.0,100.08
721.0,100.09
720.0,100.09
719.0,100.05
718.0,100.10
717.0,100.11
716.0,100.09
715.0,100.10
714.0,100.10
713.0,100.10
712.0,100.09
711.0,100.09
710.0,100.10
709.0,100.11
708.0,100.10
707.0,100.09
706.0,100.11
705.0,100.12
704.0,100.13
703.0,100.09
702.0,100.08
701.0,100.06
700.0,100.07
699.0,100.08
698.0,100.09
697.0,100.09
696.0,100.09
695.0,100.09
694.0,100.09
693.0,100.09
692.0,100.08
691.0,100.10
690.0,100.09
689.0,100.10
688.0,100.10
687.0,100.10
686.0,100.09
685.0,100.09
684.0,100.08
683.0,100.06
682.0,100.07
681.0,100.08
680.0,100.09
679.0,100.10
678.0,100.10
677.0,100.09
676.0,100.10
675.0,100.12
674.0,100.12
673.0,100.10
672.0,100.10
671.0,100.11
670.0,100.10
669.0,100.08
668.0,100.09
667.0,100.11
666.0,100.11
665.0,100.09
664.0,100.09
663.0,100.09
662.0,100.10
661.0,100.10
660.0,100.10
659.0,100.10
658.0,100.09
657.0,100.10
656.0,100.09
655.0,100.08
654.0,100.09
653.0,100.10
652.0,100.09
651.0,100.09
