Created as New Dataset,
nm,%T
800.0,100.10
799.0,100.08
798.0,100.14
797.0,100.14
796.0,100.09
795.0,100.13
794.0,100.12
793.0,100.08
792.0,100.07
791.0,100.11
790.0,100.08
789.0,100.08
788.0,100.07
787.0,100.08
786.0,100.09
785.0,100.09
784.0,100.03
783.0,100.05
782.0,100.13
781.0,100.16
780.0,100.11
779.0,100.12
778.0,100.14
777.0,100.13
776.0,100.14
775.0,100.10
774.0,100.12
773.0,100.15
772.0,100.09
771.0,100.07
770.0,100.09
769.0,100.15
768.0,100.11
767.0,100.11
766.0,100.09
765.0,100.06
764.0,100.11
763.0,100.09
762.0,100.09
761.0,100.06
760.0,100.11
759.0,100.13
758.0,100.13
757.0,100.10
756.0,100.09
755.0,100.09
754.0,100.09
753.0,100.11
752.0,100.09
751.0,100.08
750.0,100.06
749.0,100.11
748.0,100.12
747.0,100.09
746.0,100.09
745.0,100.09
744.0,100.14
743.0,100.10
742.0,100.05
741.0,100.06
740.0,100.10
739.0,100.08
738.0,100.08
737.0,100.09
736.0,100.11
735.0,100.09
734.0,100.08
733.0,100.09
732.0,100.09
731.0,100.12
730.0,100.10
729.0,100.10
728.0,100.09
727.0,100.09
726.0,100.09
725.0,100.10
724.0,100.07
723.0,100.06
722.0,100.07
721.0,100.09
720.0,100.09
719.0,100.06
718.0,100.08
717.0,100.09
716.0,100.07
715.0,100.05
714.0,100.08
713.0,100.09
712.0,100.09
711.0,100.11
710.0,100.09
709.0,100.09
708.0,100.09
707.0,100.10
706.0,100.09
705.0,100.09
704.0,100.12
703.0,100.11
702.0,100.09
701.0,100.08
700.0,100.07
699.0,100.07
698.0,100.09
697.0,100.12
696.0,100.12
695.0,100.10
694.0,100.09
693.0,100.09
692.0,100.08
691.0,100.09
690.0,100.07
689.0,100.09
688.0,100.08
687.0,100.08
686.0,100.10
685.0,100.09
684.0,100.08
683.0,100.07
682.0,100.10
681.0,100.09
680.0,100.11
679.0,100.11
678.0,100.10
677.0,100.08
676.0,100.09
675.0,100.09
674.0,100.09
673.0,100.08
672.0,100.10
671.0,100.11
670.0,100.10
669.0,100.09
668.0,100.09
667.0,100.11
666.0,100.11
665.0,100.11
664.0,100.09
663.0,100.08
662.0,100.10
661.0,100.11
660.0,100.09
659.0,100.09
658.0,100.11
657.0,100.12
656.0,100.10
655.0,100.08
654.0,100.07
653.0,100.08
652.0,100.10
651.0,100.09
650.0,100.09
649.0,100.09
648.0,100.10
647.0,100.10
646.0,100.09
645.0,100.09
644.0,100.09
643.0,100.10
642.0,100.08
641.0,100.07
640.0,100.09
639.0,100.08
638.0,100.07
637.0,100.08
636.0,100.08
635.0,100.09
634.0,100.08
633.0,100.10
632.0,100.11
631.0,100.09
630.0,100.09
629.0,100.09
628.0,100.08
627.0,100.08
626.0,100.08
625.0,100.07
624.0,100.07
623.0,100.07
622.0,100.08
621.0,100.07
620.0,100.10
619.0,100.10
618.0,100.06
617.0,100.06
616.0,100.07
615.0,100.07
614.0,100.08
613.0,100.08
612.0,100.08
611.0,100.08
610.0,100.09
609.0,100.10
608.0,100.08
607.0,100.08
606.0,100.09
605.0,100.08
604.0,100.08
603.0,100.08
602.0,100.10
601.0,100.10
600.0,100.08
599.0,100.08
598.0,100.09
597.0,100.09
596.0,100.09
595.0,100.07
594.0,100.08
593.0,100.08
592.0,100.09
591.0,100.09
590.0,100.07
589.0,100.07
588.0,100.08
587.0,100.07
586.0,100.07
585.0,100.09
584.0,100.09
583.0,100.09
582.0,100.09
581.0,100.08
580.0,100.08
579.0,100.09
578.0,100.10
577.0,100.09
576.0,100.09
575.0,100.10
574.0,100.07
573.0,100.08
572.0,100.08
571.0,100.10
570.0,100.10
569.0,100.12
568.0,100.10
567.0,100.09
566.0,100.08
565.0,100.08
564.0,100.11
563.0,100.12
562.0,100.09
561.0,100.09
560.0,100.09
559.0,100.09
558.0,100.08
557.0,100.08
556.0,100.08
555.0,100.08
554.0,100.09
553.0,100.07
552.0,100.09
551.0,100.08
550.0,100.08
549.0,100.06
548.0,100.09
547.0,100.10
546.0,100.07
545.0,100.09
544.0,100.09
543.0,100.08
542.0,100.07
541.0,100.07
540.0,100.06
539.0,100.09
538.0,100.09
537.0,100.07
536.0,100.08
535.0,100.10
534.0,100.09
533.0,100.10
532.0,100.08
531.0,100.09
530.0,100.09
529.0,100.08
528.0,100.11
527.0,100.09
526.0,100.10
525.0,100.10
524.0,100.09
523.0,100.09
522.0,100.10
521.0,100.09
520.0,100.08
519.0,100.08
518.0,100.08
517.0,100.09
516.0,100.10
515.0,100.10
514.0,100.08
513.0,100.08
512.0,100.08
511.0,100.07
510.0,100.07
509.0,100.08
508.0,100.07
507.0,100.09
506.0,100.07
505.0,100.09
504.0,100.07
503.0,100.09
502.0,100.06
501.0,100.09
500.0,100.07
499.0,100.07
498.0,100.08
497.0,100.09
496.0,100.09
495.0,100.08
494.0,100.09
493.0,100.07
492.0,100.05
491.0,100.09
490.0,100.05
489.0,100.09
488.0,100.10
487.0,100.09
486.0,100.10
485.0,100.09
484.0,100.08
483.0,100.05
482.0,100.04
481.0,100.06
480.0,100.07
479.0,100.08
478.0,100.08
477.0,100.08
476.0,100.07
475.0,100.05
474.0,100.07
473.0,100.08
472.0,100.06
471.0,100.08
470.0,100.08
469.0,100.07
468.0,100.08
467.0,100.07
466.0,100.07
465.0,100.10
464.0,100.08
463.0,100.07
462.0,100.05
461.0,100.07
460.0,100.09
459.0,100.07
458.0,100.09
457.0,100.07
456.0,100.08
455.0,100.06
454.0,100.07
453.0,100.08
452.0,100.10
451.0,100.07
450.0,100.07
449.0,100.08
448.0,100.11
447.0,100.06
446.0,100.09
