Created as New Dataset,
nm,%T
800.0,100.05
799.0,100.09
798.0,100.11
797.0,100.14
796.0,100.09
795.0,100.17
794.0,100.07
793.0,100.03
792.0,100.07
791.0,100.06
790.0,100.08
789.0,100.10
788.0,100.10
787.0,100.07
786.0,100.08
785.0,100.06
784.0,100.01
783.0,100.08
782.0,100.12
781.0,100.13
780.0,100.08
779.0,100.08
778.0,100.09
777.0,100.05
776.0,100.10
775.0,100.09
774.0,100.12
773.0,100.11
772.0,100.07
771.0,100.07
770.0,100.09
769.0,100.09
768.0,100.11
767.0,100.12
766.0,100.10
765.0,100.10
764.0,100.11
763.0,100.04
762.0,100.07
761.0,100.08
760.0,100.11
759.0,100.08
758.0,100.05
757.0,100.08
756.0,100.07
755.0,100.09
754.0,100.09
753.0,100.10
752.0,100.07
751.0,100.11
750.0,100.05
749.0,100.05
748.0,100.07
747.0,100.11
746.0,100.10
745.0,100.09
744.0,100.13
743.0,100.09
742.0,100.07
741.0,100.06
740.0,100.06
739.0,100.07
738.0,100.11
737.0,100.10
736.0,100.06
735.0,100.06
734.0,100.04
733.0,100.05
732.0,100.08
731.0,100.09
730.0,100.08
729.0,100.10
728.0,100.07
727.0,100.07
726.0,100.09
725.0,100.10
724.0,100.07
723.0,100.05
722.0,100.07
721.0,100.08
720.0,100.10
719.0,100.08
718.0,100.08
717.0,100.06
716.0,100.06
715.0,100.06
714.0,100.08
713.0,100.10
712.0,100.08
711.0,100.06
710.0,100.07
709.0,100.09
708.0,100.10
707.0,100.11
706.0,100.09
705.0,100.10
704.0,100.10
703.0,100.09
702.0,100.06
701.0,100.05
700.0,100.06
699.0,100.07
698.0,100.10
697.0,100.10
696.0,100.09
695.0,100.08
694.0,100.08
693.0,100.08
692.0,100.08
691.0,100.07
690.0,100.07
689.0,100.09
688.0,100.08
687.0,100.07
686.0,100.09
685.0,100.08
684.0,100.09
683.0,100.08
682.0,100.08
681.0,100.06
680.0,100.08
679.0,100.10
678.0,100.09
677.0,100.07
676.0,100.08
675.0,100.09
674.0,100.10
673.0,100.07
672.0,100.07
671.0,100.10
670.0,100.10
669.0,100.09
668.0,100.09
667.0,100.09
666.0,100.07
665.0,100.09
664.0,100.10
663.0,100.09
662.0,100.08
661.0,100.09
660.0,100.09
659.0,100.08
658.0,100.09
657.0,100.09
656.0,100.06
655.0,100.06
654.0,100.10
653.0,100.11
652.0,100.10
651.0,100.10
650.0,100.08
649.0,100.08
648.0,100.09
647.0,100.09
646.0,100.09
645.0,100.08
644.0,100.09
643.0,100.09
642.0,100.05
641.0,100.07
640.0,100.09
639.0,100.09
638.0,100.08
637.0,100.08
636.0,100.08
635.0,100.08
634.0,100.08
633.0,100.09
632.0,100.09
631.0,100.06
630.0,100.07
629.0,100.07
628.0,100.07
627.0,100.09
626.0,100.07
625.0,100.07
624.0,100.09
623.0,100.07
622.0,100.07
621.0,100.07
620.0,100.08
619.0,100.08
618.0,100.07
617.0,100.07
616.0,100.06
615.0,100.06
614.0,100.07
613.0,100.07
612.0,100.07
611.0,100.09
610.0,100.08
609.0,100.09
608.0,100.06
