Created as New Dataset,
nm,%T
402.0,100.04
401.0,100.05
400.0,100.06
399.0,100.06
398.0,100.07
397.0,100.08
396.0,100.07
395.0,100.06
394.0,100.05
393.0,100.05
392.0,100.05
391.0,100.04
390.0,100.06
389.0,100.07
388.0,100.06
387.0,100.05
386.0,100.04
385.0,100.06
384.0,100.07
383.0,100.05
382.0,100.02
381.0,100.04
380.0,100.06
379.0,100.03
378.0,100.04
377.0,100.10
376.0,100.09
375.0,100.05
374.0,100.06
373.0,100.08
372.0,100.06
371.0,100.04
370.0,100.04
369.0,100.10
368.0,100.10
367.0,100.05
366.0,100.01
365.0,100.04
364.0,100.08
363.0,100.07
362.0,100.07
361.0,100.05
360.0,100.04
359.0,100.03
358.0,100.04
357.0,100.06
356.0,100.04
355.0,100.02
354.0,100.00
353.0,100.02
352.0,100.04
351.0,100.03
350.0,99.99
349.0,100.00
348.0,100.02
347.0,100.06
346.0,100.07
345.0,100.02
344.0,100.01
343.0,100.03
342.0,100.03
341.0,100.02
340.0,100.00
339.0,100.03
338.0,100.08
337.0,100.07
336.0,100.07
335.0,100.09
334.0,100.06
333.0,100.03
332.0,100.01
331.0,100.01
330.0,100.07
329.0,100.03
328.0,99.97
327.0,100.04
326.0,100.08
325.0,100.05
324.0,99.99
323.0,100.03
322.0,100.06
321.0,100.07
320.0,100.02
319.0,100.00
318.0,100.00
317.0,100.02
316.0,100.01
315.0,99.99
314.0,99.99
313.0,100.01
312.0,100.05
311.0,99.99
310.0,100.00
309.0,100.00
308.0,100.02
307.0,100.04
306.0,100.01
305.0,100.01
304.0,99.96
303.0,100.03
302.0,100.02
301.0,100.01
300.0,100.01
299.0,99.99
298.0,100.02
297.0,100.05
296.0,99.98
295.0,99.97
294.0,99.97
293.0,99.97
292.0,100.02
291.0,100.00
290.0,99.98
289.0,99.97
288.0,99.97
287.0,99.98
286.0,99.99
285.0,99.98
284.0,99.99
283.0,99.99
282.0,99.96
281.0,99.97
280.0,99.98
279.0,99.95
278.0,99.94
277.0,99.94
276.0,99.93
275.0,99.95
274.0,99.96
273.0,99.93
272.0,99.93
271.0,99.90
270.0,99.93
269.0,99.91
268.0,99.92
267.0,99.88
266.0,99.93
265.0,99.95
264.0,99.92
263.0,99.93
262.0,99.96
261.0,99.92
260.0,99.94
259.0,99.92
258.0,99.94
257.0,99.90
256.0,99.93
255.0,99.93
254.0,99.92
253.0,99.89
252.0,99.89
251.0,99.90
250.0,99.91
249.0,99.87
248.0,99.90
247.0,99.87
246.0,99.90
245.0,99.89
244.0,99.87
243.0,99.89
242.0,99.86
241.0,99.89
240.0,99.88
239.0,99.87
238.0,99.88
237.0,99.84
236.0,99.87
235.0,99.88
234.0,99.85
233.0,99.84
232.0,99.86
231.0,99.83
230.0,99.82
229.0,99.85
228.0,99.80
227.0,99.83
226.0,99.80
225.0,99.80
224.0,99.77
223.0,99.81
222.0,99.78
