Created as New Dataset,
nm,%T
800.0,100.02
799.0,100.10
798.0,100.12
797.0,100.14
796.0,100.16
795.0,100.15
794.0,100.04
793.0,100.05
792.0,100.03
791.0,100.05
790.0,100.08
789.0,100.08
788.0,100.11
787.0,100.05
786.0,100.09
785.0,100.11
784.0,100.01
783.0,100.04
782.0,100.15
781.0,100.20
780.0,100.06
779.0,100.05
778.0,100.09
777.0,100.05
776.0,100.14
775.0,100.09
774.0,100.13
773.0,100.07
772.0,100.07
771.0,100.08
770.0,100.08
769.0,100.12
768.0,100.08
767.0,100.10
766.0,100.07
765.0,100.07
764.0,100.06
763.0,100.04
762.0,100.07
761.0,100.12
760.0,100.13
759.0,100.08
758.0,100.11
757.0,100.10
756.0,100.06
755.0,100.07
754.0,100.06
753.0,100.13
752.0,100.06
751.0,100.06
750.0,100.04
749.0,100.09
748.0,100.11
747.0,100.09
746.0,100.07
745.0,100.09
744.0,100.10
743.0,100.10
742.0,100.04
741.0,100.04
740.0,100.07
739.0,100.07
738.0,100.09
737.0,100.07
736.0,100.08
735.0,100.06
734.0,100.04
733.0,100.04
732.0,100.06
731.0,100.08
730.0,100.08
729.0,100.10
728.0,100.11
727.0,100.06
726.0,100.07
725.0,100.10
724.0,100.08
723.0,100.08
722.0,100.07
721.0,100.07
720.0,100.06
719.0,100.07
718.0,100.07
717.0,100.07
716.0,100.06
715.0,100.06
714.0,100.07
713.0,100.10
712.0,100.09
711.0,100.08
710.0,100.08
709.0,100.10
708.0,100.09
707.0,100.09
706.0,100.12
705.0,100.11
704.0,100.12
703.0,100.09
702.0,100.07
701.0,100.06
700.0,100.06
699.0,100.07
698.0,100.07
697.0,100.08
696.0,100.07
695.0,100.08
694.0,100.09
693.0,100.10
692.0,100.08
691.0,100.08
690.0,100.09
689.0,100.09
688.0,100.07
687.0,100.07
686.0,100.08
685.0,100.08
684.0,100.09
683.0,100.08
682.0,100.06
681.0,100.06
680.0,100.08
679.0,100.09
678.0,100.10
677.0,100.08
676.0,100.08
675.0,100.10
674.0,100.09
673.0,100.08
672.0,100.07
671.0,100.07
670.0,100.08
669.0,100.09
668.0,100.10
667.0,100.10
666.0,100.09
665.0,100.08
664.0,100.05
663.0,100.07
662.0,100.09
661.0,100.10
660.0,100.09
659.0,100.08
658.0,100.08
657.0,100.08
656.0,100.07
655.0,100.06
654.0,100.07
653.0,100.09
652.0,100.08
651.0,100.07
650.0,100.06
649.0,100.07
648.0,100.08
647.0,100.09
646.0,100.09
645.0,100.07
644.0,100.05
643.0,100.07
642.0,100.06
641.0,100.06
640.0,100.08
639.0,100.08
638.0,100.08
637.0,100.08
636.0,100.08
635.0,100.08
634.0,100.08
633.0,100.09
632.0,100.09
631.0,100.08
630.0,100.08
629.0,100.06
628.0,100.07
627.0,100.09
626.0,100.07
625.0,100.06
624.0,100.07
623.0,100.08
622.0,100.07
621.0,100.05
620.0,100.06
619.0,100.07
618.0,100.05
617.0,100.06
616.0,100.06
615.0,100.06
614.0,100.06
613.0,100.06
612.0,100.08
611.0,100.08
610.0,100.09
609.0,100.09
608.0,100.08
607.0,100.07
606.0,100.08
605.0,100.07
604.0,100.08
603.0,100.07
602.0,100.08
601.0,100.09
600.0,100.07
599.0,100.06
598.0,100.07
597.0,100.08
596.0,100.09
595.0,100.08
594.0,100.07
593.0,100.06
592.0,100.06
591.0,100.06
590.0,100.07
589.0,100.06
588.0,100.07
587.0,100.07
586.0,100.07
585.0,100.08
584.0,100.06
583.0,100.08
582.0,100.10
581.0,100.08
580.0,100.09
579.0,100.09
578.0,100.07
577.0,100.06
576.0,100.05
575.0,100.07
574.0,100.06
573.0,100.08
572.0,100.07
571.0,100.08
570.0,100.08
569.0,100.09
568.0,100.07
567.0,100.08
566.0,100.08
565.0,100.07
564.0,100.10
563.0,100.10
562.0,100.08
561.0,100.08
560.0,100.08
559.0,100.08
558.0,100.08
557.0,100.06
556.0,100.07
555.0,100.08
554.0,100.08
553.0,100.07
552.0,100.08
551.0,100.09
550.0,100.07
549.0,100.07
548.0,100.07
547.0,100.07
546.0,100.06
545.0,100.09
544.0,100.08
543.0,100.06
542.0,100.06
541.0,100.08
540.0,100.07
539.0,100.09
538.0,100.08
537.0,100.06
536.0,100.08
535.0,100.10
534.0,100.08
533.0,100.09
532.0,100.08
531.0,100.06
530.0,100.06
529.0,100.06
528.0,100.09
527.0,100.08
526.0,100.07
525.0,100.07
524.0,100.07
523.0,100.08
522.0,100.07
521.0,100.06
520.0,100.07
519.0,100.08
518.0,100.07
517.0,100.08
516.0,100.07
515.0,100.09
514.0,100.07
513.0,100.07
512.0,100.08
511.0,100.09
510.0,100.07
509.0,100.07
508.0,100.06
507.0,100.07
506.0,100.07
505.0,100.09
504.0,100.05
503.0,100.07
502.0,100.07
501.0,100.07
500.0,100.05
499.0,100.05
498.0,100.08
497.0,100.08
496.0,100.09
495.0,100.07
494.0,100.06
493.0,100.05
492.0,100.06
491.0,100.07
490.0,100.07
489.0,100.07
488.0,100.07
487.0,100.08
486.0,100.08
485.0,100.07
484.0,100.09
483.0,100.06
482.0,100.06
481.0,100.06
480.0,100.08
479.0,100.06
478.0,100.06
477.0,100.05
476.0,100.05
475.0,100.05
474.0,100.06
473.0,100.07
472.0,100.06
471.0,100.08
470.0,100.07
469.0,100.06
468.0,100.06
467.0,100.09
466.0,100.06
465.0,100.07
464.0,100.07
463.0,100.07
462.0,100.06
461.0,100.08
460.0,100.07
459.0,100.08
458.0,100.06
457.0,100.05
456.0,100.08
455.0,100.05
454.0,100.08
453.0,100.09
452.0,100.09
451.0,100.09
450.0,100.09
449.0,100.06
448.0,100.09
447.0,100.05
446.0,100.07
445.0,100.08
444.0,100.11
443.0,100.06
442.0,100.05
441.0,100.06
440.0,100.08
439.0,100.06
438.0,100.05
437.0,100.06
436.0,100.07
435.0,100.09
434.0,100.06
433.0,100.08
432.0,100.07
431.0,100.07
430.0,100.06
429.0,100.06
428.0,100.06
427.0,100.05
426.0,100.04
425.0,100.07
424.0,100.08
423.0,100.08
422.0,100.07
421.0,100.09
420.0,100.07
419.0,100.07
418.0,100.08
417.0,100.07
416.0,100.05
415.0,100.06
414.0,100.07
413.0,100.05
412.0,100.07
411.0,100.08
410.0,100.05
409.0,100.04
408.0,100.04
407.0,100.06
406.0,100.07
405.0,100.05
404.0,100.04
403.0,100.05
402.0,100.05
401.0,100.02
400.0,100.06
399.0,100.09
398.0,100.08
397.0,100.08
396.0,100.06
395.0,100.07
394.0,100.07
393.0,100.05
392.0,100.04
391.0,100.05
390.0,100.07
389.0,100.06
388.0,100.07
387.0,100.05
386.0,100.05
385.0,100.07
384.0,100.08
383.0,100.06
382.0,100.02
381.0,100.03
380.0,100.04
379.0,100.05
378.0,100.06
377.0,100.06
376.0,100.02
375.0,100.08
374.0,100.14
373.0,100.14
372.0,100.07
371.0,100.02
370.0,100.02
369.0,100.04
368.0,100.08
367.0,100.06
366.0,100.02
365.0,100.04
364.0,100.08
363.0,100.09
362.0,100.07
361.0,100.03
360.0,100.04
359.0,100.05
358.0,100.03
357.0,100.06
356.0,100.04
355.0,100.05
354.0,100.04
353.0,100.03
352.0,100.05
351.0,100.05
350.0,100.01
349.0,100.00
348.0,100.04
347.0,100.07
346.0,100.09
