Created as New Dataset,
nm,%T
800.0,100.09
799.0,100.12
798.0,100.17
797.0,100.14
796.0,100.13
795.0,100.14
794.0,100.06
793.0,100.06
792.0,100.09
791.0,100.06
790.0,100.10
789.0,100.09
788.0,100.10
787.0,100.08
786.0,100.08
785.0,100.14
784.0,100.06
783.0,100.05
782.0,100.11
781.0,100.12
780.0,100.13
779.0,100.08
778.0,100.10
777.0,100.08
776.0,100.14
775.0,100.14
774.0,100.10
773.0,100.11
772.0,100.07
771.0,100.09
770.0,100.09
769.0,100.08
768.0,100.11
767.0,100.15
766.0,100.10
765.0,100.11
764.0,100.12
763.0,100.08
762.0,100.08
761.0,100.09
760.0,100.12
759.0,100.07
758.0,100.08
757.0,100.08
756.0,100.10
755.0,100.11
754.0,100.08
753.0,100.12
752.0,100.10
751.0,100.11
750.0,100.09
749.0,100.12
748.0,100.12
747.0,100.08
746.0,100.09
745.0,100.09
744.0,100.11
743.0,100.12
742.0,100.07
741.0,100.06
740.0,100.07
739.0,100.06
738.0,100.06
737.0,100.08
736.0,100.07
735.0,100.08
734.0,100.07
733.0,100.05
732.0,100.05
731.0,100.09
730.0,100.09
729.0,100.10
728.0,100.10
727.0,100.10
726.0,100.11
725.0,100.12
724.0,100.08
723.0,100.05
722.0,100.07
721.0,100.10
720.0,100.06
719.0,100.09
718.0,100.09
717.0,100.07
716.0,100.09
715.0,100.10
714.0,100.10
713.0,100.10
712.0,100.08
711.0,100.06
710.0,100.09
709.0,100.09
708.0,100.09
707.0,100.09
706.0,100.11
705.0,100.11
704.0,100.11
703.0,100.09
702.0,100.07
701.0,100.07
700.0,100.06
699.0,100.08
698.0,100.09
697.0,100.09
696.0,100.09
695.0,100.09
694.0,100.09
693.0,100.08
692.0,100.09
691.0,100.11
690.0,100.08
689.0,100.09
688.0,100.08
687.0,100.07
686.0,100.09
685.0,100.08
684.0,100.07
683.0,100.06
682.0,100.08
681.0,100.07
680.0,100.08
679.0,100.10
678.0,100.08
677.0,100.09
676.0,100.10
675.0,100.08
674.0,100.07
673.0,100.08
672.0,100.09
671.0,100.09
670.0,100.09
669.0,100.10
668.0,100.11
667.0,100.09
666.0,100.08
665.0,100.09
664.0,100.09
663.0,100.08
662.0,100.08
661.0,100.10
660.0,100.10
659.0,100.08
658.0,100.09
657.0,100.10
656.0,100.09
655.0,100.08
654.0,100.07
653.0,100.08
652.0,100.09
651.0,100.09
650.0,100.09
649.0,100.09
648.0,100.08
647.0,100.08
646.0,100.08
645.0,100.08
644.0,100.08
643.0,100.09
642.0,100.07
641.0,100.07
640.0,100.09
639.0,100.09
638.0,100.08
637.0,100.08
636.0,100.09
635.0,100.09
634.0,100.08
633.0,100.10
632.0,100.11
631.0,100.08
630.0,100.08
629.0,100.09
628.0,100.09
627.0,100.09
626.0,100.07
625.0,100.07
624.0,100.08
623.0,100.09
622.0,100.09
621.0,100.08
620.0,100.09
619.0,100.08
618.0,100.07
617.0,100.08
616.0,100.07
615.0,100.08
614.0,100.08
613.0,100.08
612.0,100.09
611.0,100.10
610.0,100.09
609.0,100.09
608.0,100.08
607.0,100.07
606.0,100.08
605.0,100.08
604.0,100.09
603.0,100.09
602.0,100.09
601.0,100.08
600.0,100.09
599.0,100.07
598.0,100.06
597.0,100.07
596.0,100.09
595.0,100.10
594.0,100.08
593.0,100.09
592.0,100.08
591.0,100.08
590.0,100.07
589.0,100.08
588.0,100.08
587.0,100.07
586.0,100.09
585.0,100.09
584.0,100.09
583.0,100.09
582.0,100.10
581.0,100.08
580.0,100.09
579.0,100.09
578.0,100.10
577.0,100.08
576.0,100.07
575.0,100.09
574.0,100.08
573.0,100.09
572.0,100.07
571.0,100.10
570.0,100.10
569.0,100.11
568.0,100.08
567.0,100.09
566.0,100.09
565.0,100.09
564.0,100.10
563.0,100.10
562.0,100.09
561.0,100.08
560.0,100.08
559.0,100.09
558.0,100.08
557.0,100.09
556.0,100.08
555.0,100.07
554.0,100.09
553.0,100.07
552.0,100.08
551.0,100.08
550.0,100.07
549.0,100.08
548.0,100.08
547.0,100.08
546.0,100.06
545.0,100.09
544.0,100.08
543.0,100.08
542.0,100.07
541.0,100.07
540.0,100.07
539.0,100.09
538.0,100.09
537.0,100.06
536.0,100.08
535.0,100.09
534.0,100.08
533.0,100.10
532.0,100.09
531.0,100.08
530.0,100.08
529.0,100.08
528.0,100.10
527.0,100.10
526.0,100.07
525.0,100.08
524.0,100.09
523.0,100.09
522.0,100.09
521.0,100.08
520.0,100.08
519.0,100.08
518.0,100.08
517.0,100.07
516.0,100.08
515.0,100.08
514.0,100.07
513.0,100.07
512.0,100.09
511.0,100.08
510.0,100.09
509.0,100.09
508.0,100.08
507.0,100.08
506.0,100.07
505.0,100.08
504.0,100.06
503.0,100.06
502.0,100.08
501.0,100.09
500.0,100.10
499.0,100.07
498.0,100.10
497.0,100.08
496.0,100.10
495.0,100.08
494.0,100.09
493.0,100.08
492.0,100.06
491.0,100.07
490.0,100.07
489.0,100.08
488.0,100.09
487.0,100.06
486.0,100.12
485.0,100.08
484.0,100.08
483.0,100.07
482.0,100.06
481.0,100.05
480.0,100.06
479.0,100.08
478.0,100.10
477.0,100.08
476.0,100.07
475.0,100.07
474.0,100.06
473.0,100.09
472.0,100.08
471.0,100.08
470.0,100.07
469.0,100.09
468.0,100.07
467.0,100.08
466.0,100.09
465.0,100.08
464.0,100.07
463.0,100.07
462.0,100.07
461.0,100.10
460.0,100.08
459.0,100.08
458.0,100.07
457.0,100.05
456.0,100.09
455.0,100.06
454.0,100.08
453.0,100.04
452.0,100.07
451.0,100.08
450.0,100.07
449.0,100.07
448.0,100.10
447.0,100.06
446.0,100.08
445.0,100.10
444.0,100.08
443.0,100.04
442.0,100.05
441.0,100.08
440.0,100.09
439.0,100.07
438.0,100.07
437.0,100.06
436.0,100.05
435.0,100.08
434.0,100.07
433.0,100.07
432.0,100.04
431.0,100.05
430.0,100.07
429.0,100.06
428.0,100.06
427.0,100.06
426.0,100.08
425.0,100.08
424.0,100.08
423.0,100.06
422.0,100.05
421.0,100.08
420.0,100.07
419.0,100.06
418.0,100.07
417.0,100.06
416.0,100.07
415.0,100.08
414.0,100.07
413.0,100.06
412.0,100.06
411.0,100.08
410.0,100.06
409.0,100.07
408.0,100.07
407.0,100.06
406.0,100.05
405.0,100.04
404.0,100.04
403.0,100.05
402.0,100.05
401.0,100.04
400.0,100.07
399.0,100.07
398.0,100.05
397.0,100.06
396.0,100.06
