Created as New Dataset,
nm,%T
800.0,100.04
799.0,100.08
798.0,100.17
797.0,100.13
796.0,100.10
795.0,100.11
794.0,100.09
793.0,100.06
792.0,100.07
791.0,100.10
790.0,100.10
789.0,100.11
788.0,100.09
787.0,100.08
786.0,100.05
785.0,100.11
784.0,100.03
783.0,100.03
782.0,100.11
781.0,100.14
780.0,100.09
779.0,100.11
778.0,100.10
777.0,100.07
776.0,100.11
775.0,100.11
774.0,100.12
773.0,100.14
772.0,100.10
771.0,100.08
770.0,100.08
769.0,100.11
768.0,100.08
767.0,100.08
766.0,100.07
765.0,100.06
764.0,100.11
763.0,100.08
762.0,100.07
761.0,100.06
760.0,100.12
759.0,100.10
758.0,100.06
757.0,100.06
756.0,100.08
755.0,100.08
754.0,100.07
753.0,100.11
752.0,100.07
751.0,100.09
750.0,100.05
749.0,100.10
748.0,100.10
747.0,100.08
746.0,100.11
745.0,100.10
744.0,100.11
743.0,100.13
742.0,100.07
741.0,100.04
740.0,100.09
739.0,100.06
738.0,100.09
737.0,100.09
736.0,100.09
735.0,100.07
734.0,100.05
733.0,100.06
732.0,100.09
731.0,100.10
730.0,100.08
729.0,100.12
728.0,100.11
727.0,100.09
726.0,100.08
725.0,100.10
724.0,100.08
723.0,100.08
722.0,100.09
721.0,100.10
720.0,100.08
719.0,100.07
718.0,100.09
717.0,100.09
716.0,100.08
715.0,100.06
714.0,100.06
713.0,100.08
712.0,100.07
711.0,100.06
710.0,100.08
709.0,100.08
708.0,100.08
707.0,100.09
706.0,100.09
705.0,100.08
704.0,100.09
703.0,100.10
702.0,100.09
701.0,100.04
700.0,100.04
699.0,100.07
698.0,100.10
697.0,100.11
696.0,100.10
695.0,100.11
694.0,100.10
693.0,100.09
692.0,100.09
691.0,100.08
690.0,100.09
689.0,100.11
688.0,100.07
687.0,100.06
686.0,100.06
685.0,100.06
684.0,100.08
683.0,100.07
682.0,100.08
681.0,100.07
680.0,100.09
679.0,100.11
678.0,100.11
677.0,100.09
676.0,100.09
675.0,100.09
674.0,100.08
673.0,100.08
672.0,100.09
671.0,100.10
670.0,100.08
669.0,100.07
668.0,100.08
667.0,100.10
666.0,100.10
665.0,100.08
664.0,100.07
663.0,100.07
662.0,100.09
661.0,100.09
660.0,100.09
659.0,100.10
658.0,100.11
657.0,100.10
656.0,100.09
655.0,100.08
654.0,100.08
653.0,100.08
652.0,100.09
651.0,100.09
