Created as New Dataset,
nm,%T
800.0,100.12
799.0,100.15
798.0,100.13
797.0,100.18
796.0,100.15
795.0,100.12
794.0,100.06
793.0,100.07
792.0,100.07
791.0,100.04
790.0,100.10
789.0,100.08
788.0,100.15
787.0,100.08
786.0,100.11
785.0,100.06
784.0,100.06
783.0,100.05
782.0,100.12
781.0,100.17
780.0,100.11
779.0,100.05
778.0,100.12
777.0,100.11
776.0,100.10
775.0,100.10
774.0,100.14
773.0,100.12
772.0,100.10
771.0,100.10
770.0,100.08
769.0,100.10
768.0,100.10
767.0,100.12
766.0,100.10
765.0,100.08
764.0,100.11
763.0,100.06
762.0,100.03
761.0,100.07
760.0,100.10
759.0,100.08
758.0,100.11
757.0,100.07
756.0,100.09
755.0,100.10
754.0,100.11
753.0,100.10
752.0,100.10
751.0,100.11
750.0,100.07
749.0,100.09
748.0,100.10
747.0,100.07
746.0,100.09
745.0,100.09
744.0,100.12
743.0,100.12
742.0,100.06
741.0,100.05
740.0,100.08
739.0,100.07
738.0,100.08
737.0,100.08
736.0,100.10
735.0,100.07
734.0,100.09
733.0,100.06
732.0,100.07
731.0,100.09
730.0,100.12
729.0,100.12
728.0,100.12
727.0,100.10
726.0,100.06
725.0,100.08
724.0,100.05
723.0,100.06
722.0,100.06
721.0,100.07
720.0,100.09
719.0,100.07
718.0,100.09
717.0,100.08
716.0,100.07
715.0,100.05
714.0,100.08
713.0,100.12
712.0,100.11
711.0,100.09
710.0,100.07
709.0,100.08
708.0,100.09
707.0,100.11
706.0,100.10
705.0,100.11
704.0,100.12
703.0,100.10
702.0,100.08
701.0,100.06
700.0,100.05
699.0,100.08
698.0,100.10
697.0,100.10
696.0,100.11
695.0,100.08
694.0,100.08
693.0,100.09
692.0,100.06
691.0,100.07
690.0,100.08
689.0,100.09
688.0,100.07
687.0,100.05
686.0,100.07
685.0,100.08
684.0,100.08
683.0,100.08
682.0,100.10
681.0,100.07
680.0,100.08
679.0,100.10
678.0,100.10
677.0,100.07
676.0,100.06
675.0,100.07
674.0,100.07
673.0,100.07
672.0,100.09
671.0,100.10
670.0,100.08
669.0,100.09
668.0,100.10
667.0,100.11
666.0,100.10
665.0,100.09
664.0,100.09
663.0,100.08
662.0,100.08
661.0,100.09
660.0,100.09
659.0,100.09
658.0,100.09
657.0,100.09
656.0,100.09
655.0,100.07
654.0,100.08
653.0,100.11
652.0,100.10
651.0,100.09
650.0,100.08
649.0,100.06
648.0,100.07
647.0,100.09
646.0,100.10
645.0,100.08
644.0,100.07
643.0,100.09
642.0,100.06
641.0,100.07
640.0,100.09
639.0,100.09
638.0,100.09
637.0,100.09
636.0,100.09
635.0,100.09
634.0,100.08
633.0,100.08
632.0,100.06
631.0,100.06
630.0,100.06
629.0,100.07
628.0,100.07
627.0,100.08
